,playerId,matchId,competitionId,seasonId,roundId,positions,total.matches,total.matchesInStart,total.matchesSubstituted,total.matchesComingOff,total.minutesOnField,total.minutesTagged,total.goals,total.assists,total.shots,total.headShots,total.yellowCards,total.redCards,total.directRedCards,total.penalties,total.linkupPlays,total.duels,total.duelsWon,total.defensiveDuels,total.defensiveDuelsWon,total.offensiveDuels,total.offensiveDuelsWon,total.aerialDuels,total.aerialDuelsWon,total.fouls,total.passes,total.successfulPasses,total.smartPasses,total.successfulSmartPasses,total.passesToFinalThird,total.successfulPassesToFinalThird,total.crosses,total.successfulCrosses,total.forwardPasses,total.successfulForwardPasses,total.backPasses,total.successfulBackPasses,total.throughPasses,total.successfulThroughPasses,total.keyPasses,total.successfulKeyPasses,total.verticalPasses,total.successfulVerticalPasses,total.longPasses,total.successfulLongPasses,total.dribbles,total.successfulDribbles,total.interceptions,total.defensiveActions,total.successfulDefensiveAction,total.attackingActions,total.successfulAttackingActions,total.freeKicks,total.freeKicksOnTarget,total.directFreeKicks,total.directFreeKicksOnTarget,total.corners,total.successfulPenalties,total.successfulLinkupPlays,total.accelerations,total.pressingDuels,total.pressingDuelsWon,total.looseBallDuels,total.looseBallDuelsWon,total.missedBalls,total.shotAssists,total.shotOnTargetAssists,total.recoveries,total.opponentHalfRecoveries,total.dangerousOpponentHalfRecoveries,total.losses,total.ownHalfLosses,total.dangerousOwnHalfLosses,total.xgShot,total.xgAssist,total.xgSave,total.receivedPass,total.touchInBox,total.progressiveRun,total.offsides,total.clearances,total.secondAssists,total.thirdAssists,total.shotsBlocked,total.foulsSuffered,total.progressivePasses,total.counterpressingRecoveries,total.slidingTackles,total.goalKicks,total.dribblesAgainst,total.dribblesAgainstWon,total.goalKicksShort,total.goalKicksLong,total.shotsOnTarget,total.successfulProgressivePasses,total.successfulSlidingTackles,total.successfulGoalKicks,total.fieldAerialDuels,total.fieldAerialDuelsWon,total.gkCleanSheets,total.gkConcededGoals,total.gkShotsAgainst,total.gkExits,total.gkSuccessfulExits,total.gkAerialDuels,total.gkAerialDuelsWon,total.gkSaves,total.newDuelsWon,total.newDefensiveDuelsWon,total.newOffensiveDuelsWon,total.newSuccessfulDribbles,total.lateralPasses,total.successfulLateralPasses,average.passLength,average.longPassLength,average.dribbleDistanceFromOpponentGoal,average.ballRecoveries,average.duels,average.defensiveDuels,average.offensiveDuels,average.aerialDuels,average.fouls,average.goals,average.assists,average.passes,average.smartPasses,average.passesToFinalThird,average.crosses,average.dribbles,average.shots,average.headShots,average.interceptions,average.successfulDefensiveAction,average.yellowCards,average.redCards,average.directRedCards,average.successfulAttackingActions,average.freeKicks,average.directFreeKicks,average.corners,average.penalties,average.accelerations,average.looseBallDuels,average.missedBalls,average.forwardPasses,average.backPasses,average.throughPasses,average.keyPasses,average.verticalPasses,average.longPasses,average.shotAssists,average.shotOnTargetAssists,average.linkupPlays,average.opponentHalfRecoveries,average.dangerousOpponentHalfRecoveries,average.ballLosses,average.losses,average.ownHalfLosses,average.dangerousOwnHalfLosses,average.duelsWon,average.defensiveDuelsWon,average.offensiveDuelsWon,average.successfulPasses,average.successfulSmartPasses,average.successfulCrosses,average.successfulForwardPasses,average.successfulBackPasses,average.successfulThroughPasses,average.successfulKeyPasses,average.successfulVerticalPasses,average.successfulLongPasses,average.successfulDribbles,average.defensiveActions,average.attackingActions,average.freeKicksOnTarget,average.directFreeKicksOnTarget,average.successfulPenalties,average.successfulLinkupPlays,average.looseBallDuelsWon,average.successfulPassesToFinalThird,average.xgShot,average.xgAssist,average.xgSave,average.receivedPass,average.touchInBox,average.progressiveRun,average.offsides,average.clearances,average.secondAssists,average.thirdAssists,average.foulsSuffered,average.progressivePasses,average.counterpressingRecoveries,average.slidingTackles,average.goalKicks,average.shotsBlocked,average.shotsOnTarget,average.successfulProgressivePasses,average.successfulSlidingTackles,average.successfulGoalKicks,average.dribblesAgainst,average.dribblesAgainstWon,average.goalKicksShort,average.goalKicksLong,average.fieldAerialDuels,average.fieldAerialDuelsWon,average.gkConcededGoals,average.gkShotsAgainst,average.gkExits,average.gkAerialDuels,average.gkSaves,average.gkSuccessfulExits,average.gkAerialDuelsWon,average.newDuelsWon,average.newDefensiveDuelsWon,average.newOffensiveDuelsWon,average.newSuccessfulDribbles,average.lateralPasses,average.successfulLateralPasses,percent.duelsWon,percent.defensiveDuelsWon,percent.offensiveDuelsWon,percent.aerialDuelsWon,percent.successfulPasses,percent.successfulSmartPasses,percent.successfulPassesToFinalThird,percent.successfulCrosses,percent.successfulDribbles,percent.shotsOnTarget,percent.headShotsOnTarget,percent.goalConversion,percent.directFreeKicksOnTarget,percent.penaltiesConversion,percent.win,percent.successfulForwardPasses,percent.successfulBackPasses,percent.successfulThroughPasses,percent.successfulKeyPasses,percent.successfulVerticalPasses,percent.successfulLongPasses,percent.successfulShotAssists,percent.successfulLinkupPlays,percent.yellowCardsPerFoul,percent.successfulProgressivePasses,percent.successfulSlidingTackles,percent.successfulGoalKicks,percent.dribblesAgainstWon,percent.fieldAerialDuelsWon,percent.gkSaves,percent.gkSuccessfulExits,percent.gkAerialDuelsWon,percent.newDuelsWon,percent.newDefensiveDuelsWon,percent.newOffensiveDuelsWon,percent.newSuccessfulDribbles,percent.successfulLateralPasses
0,82340,2799513,103,21316,4418495,"[{'position': {'name': 'Right Winger', 'code': 'rw'}, 'percent': 50}, {'position': {'name': 'Right Attacking Midfielder', 'code': 'ramf'}, 'percent': 49}]",1,1,0,0,94,94,0,0,0,0,0,0,0,0,2,30,9,11,3,7,2,9,2,0,23,21,0,0,3,3,0,0,7,7,8,7,0,0,0,0,6,5,0,0,0,0,2,14,9,0,0,0,0,0,0,0,0,2,0,5,0,3,2,0,0,0,4,1,0,13,6,0,0,0,0,18,0,0,0,1,0,0,0,1,3,2,1,0,3,1,0,0,0,2,0,0,9,2,0,0,0,0,0,0,0,0,12,6,2,0,6,5,14.63,0,0,3.83,28.72,10.53,6.7,8.62,0,0,0,22.02,0,2.87,0,0,0,0,1.91,8.62,0,0,0,0,0,0,0,0,0,2.87,0,6.7,7.66,0,0,5.74,0,0,0,1.91,0.96,0,0,12.45,5.74,0,8.62,2.87,1.91,20.11,0,0,6.7,6.7,0,0,4.79,0,0,13.4,0,0,0,0,1.91,1.91,2.87,0,0,0,17.23,0,0,0,0.96,0,0,0.96,2.87,1.91,0.96,0,0,0,1.91,0,0,2.87,0.96,0,0,8.62,1.91,0,0,0,0,0,0,0,11.49,5.74,1.91,0,5.74,4.79,30,27.27,28.57,22.22,91.3,0,100,0,0,0,0,0,0,0,0,100,87.5,0,0,83.33,0,0,100,0,66.67,0,0,33.33,22.22,0,0,0,40,54.55,28.57,0,83.33
1,37840,2799513,103,21316,4418495,"[{'position': {'name': 'Attacking Midfielder', 'code': 'amf'}, 'percent': 53}, {'position': {'name': 'Striker', 'code': 'cf'}, 'percent': 46}]",1,0,0,1,47,47,0,0,1,0,0,0,0,0,1,9,4,2,2,5,2,1,0,0,16,11,0,0,1,1,1,0,2,0,4,2,0,0,0,0,3,3,0,0,1,0,2,5,5,3,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,5,4,0,7,1,0,0.05,0,0,12,1,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,2,3,0,3,3,13.03,0,73.5,9.57,17.23,3.83,9.57,1.91,0,0,0,30.64,0,1.91,1.91,1.91,1.91,0,3.83,9.57,0,0,0,0,0,0,0,0,0,1.91,0,3.83,7.66,0,0,5.74,0,0,0,1.91,7.66,0,0,13.4,1.91,0,7.66,3.83,3.83,21.06,0,0,0.0,3.83,0,0,5.74,0,0,9.57,5.73,0,0,0,1.91,0.0,1.91,0.1,0,0,22.98,1.91,0,0,0.0,0,0,3.83,0.0,5.74,1.91,0,0,0,0.0,1.91,0,0.0,0.0,0,0,1.91,0.0,0,0,0,0,0,0,0,9.57,3.83,5.74,0,5.74,5.74,44.44,100.0,40.0,0.0,68.75,0,100,0,0,0,0,0,0,0,0,0,50.0,0,0,100.0,0,0,100,0,0.0,100,0,0.0,0.0,0,0,0,55.56,100.0,60.0,0,100.0
2,82518,2799513,103,21316,4418495,"[{'position': {'name': 'Attacking Midfielder', 'code': 'amf'}, 'percent': 68}, {'position': {'name': 'Left Centre Midfielder', 'code': 'lcmf'}, 'percent': 31}]",1,1,1,0,69,69,0,0,1,0,0,0,0,0,0,14,5,4,1,6,3,3,1,2,29,24,1,0,6,6,1,0,8,6,6,6,0,0,0,0,7,6,6,4,1,1,0,5,3,4,1,2,2,0,0,1,0,0,0,8,0,1,0,1,2,0,2,2,0,11,4,1,0.03,0.5,0,27,0,0,0,1,0,0,0,2,7,2,1,0,1,1,0,0,0,6,1,0,3,1,0,0,0,0,0,0,0,0,6,2,3,1,7,6,21.16,41.44,24.1,2.61,18.26,5.22,7.83,3.91,2.61,0,0,37.83,1.3,7.83,1.3,1.3,1.3,0,0.0,3.91,0,0,0,1.3,2.61,0,1.3,0,0,1.3,1.3,10.43,7.83,0,0,9.13,7.83,2.61,0,0.0,2.61,0,0,14.35,5.22,1.3,6.52,1.3,3.91,31.3,0,0,7.83,7.83,0,0,7.83,5.22,1.3,6.52,5.2,2.61,0,0,0.0,0.0,7.83,0.04,0.65,0,35.22,0,0,0,1.3,0,0,2.61,9.13,2.61,1.3,0,0,0,7.83,1.3,0,1.3,1.3,0,0,3.91,1.3,0,0,0,0,0,0,0,7.83,2.61,3.91,1.3,9.13,7.83,35.71,25.0,50.0,33.33,82.76,0,100,0,100,0,0,0,0,0,0,75,100.0,0,0,85.71,66.67,50,0,0,85.71,100,0,100.0,33.33,0,0,0,42.86,50.0,50.0,100,85.71
3,354547,2799513,103,21316,4418495,"[{'position': {'name': 'Left Attacking Midfielder', 'code': 'lamf'}, 'percent': 100}]",1,1,1,0,47,47,0,0,0,0,0,0,0,0,1,7,1,5,1,2,0,0,0,0,12,8,0,0,3,1,0,0,5,3,3,3,0,0,0,0,3,2,2,2,0,0,2,7,4,0,0,0,0,0,0,1,0,1,2,7,0,0,0,0,0,0,2,0,0,5,4,0,0,0,0,7,0,1,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,2,17.55,37.04,0,3.83,13.4,9.57,3.83,0.0,0,0,0,22.98,0,5.74,0,0,0,0,3.83,7.66,0,0,0,0,0,0,1.91,0,3.83,0.0,0,9.57,5.74,0,0,5.74,3.83,0,0,1.91,0.0,0,0,9.57,7.66,0,1.91,1.91,0.0,15.32,0,0,5.74,5.74,0,0,3.83,3.83,0,13.4,0,0,0,0,1.91,0.0,1.91,0,0,0,13.4,0,1.91,0,0.0,0,0,0.0,7.66,0.0,0.0,0,0,0,3.83,0,0,3.83,1.91,0,0,0.0,0.0,0,0,0,0,0,0,0,3.83,3.83,0.0,0,5.74,3.83,14.29,20.0,0.0,0.0,66.67,0,33.33,0,0,0,0,0,0,0,0,60,100.0,0,0,66.67,100,0,100,0,50.0,0,0,50.0,0.0,0,0,0,28.57,40.0,0.0,0,66.67
4,32628,2799514,103,21316,4418495,"[{'position': {'name': 'Attacking Midfielder', 'code': 'amf'}, 'percent': 100}]",1,1,0,0,96,96,0,0,2,0,1,0,0,0,8,20,8,3,0,7,4,7,2,1,31,22,3,0,3,3,0,0,12,8,5,5,5,1,0,0,9,7,2,1,0,0,4,7,6,5,1,0,0,0,0,2,0,6,0,5,0,3,2,2,0,0,4,4,0,17,6,1,0.21,0,0,21,3,0,2,1,0,0,0,4,6,3,0,0,0,0,0,0,1,3,0,0,7,2,0,0,0,0,0,0,0,0,11,2,5,0,9,7,16.75,31.73,0,3.75,18.75,2.81,6.56,6.56,0.94,0,0,29.06,2.81,2.81,0,0,1.88,0,3.75,5.63,0.94,0,0,0.94,0,0,1.88,0,0,2.81,1.88,11.25,4.69,4.69,0,8.44,1.88,0,0,7.5,3.75,0,0,15.94,5.63,0.94,7.5,0,3.75,20.63,0,0,7.5,4.69,0.94,0,6.56,0.94,0,6.56,4.69,0,0,0,5.63,1.88,2.81,0.2,0,0,19.69,2.81,0,1.88,0.94,0,0,3.75,5.63,2.81,0,0,0,0.94,2.81,0,0,0,0,0,0,6.56,1.88,0,0,0,0,0,0,0,10.31,1.88,4.69,0,8.44,6.56,40,0,57.14,28.57,70.97,0,100,0,0,50,0,0,0,0,0,66.67,100,20,0,77.78,50,0,75,100,50,0,0,0,28.57,0,0,0,55,66.67,71.43,0,77.78
5,68155,2799514,103,21316,4418495,"[{'position': {'name': 'Left Attacking Midfielder', 'code': 'lamf'}, 'percent': 100}]",1,1,1,0,53,53,0,0,0,0,0,0,0,0,4,21,5,9,1,6,3,0,0,2,14,12,2,1,0,0,0,0,3,2,4,4,0,0,0,0,1,1,0,0,1,1,3,12,7,3,2,0,0,0,0,0,0,3,0,1,0,6,1,3,1,0,1,0,0,6,0,0,0.0,0.06,0,15,0,1,1,0,0,0,0,2,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2,1,1,1,13.82,0.0,66.2,1.7,35.66,15.28,10.19,0.0,3.4,0,0,23.77,3.4,0.0,0,1.7,0.0,0,5.09,11.89,0.0,0,0,3.4,0,0,0.0,0,0,10.19,5.09,5.09,6.79,0.0,0,1.7,0.0,1.7,0,6.79,0.0,0,0,10.19,0.0,0.0,8.49,1.7,5.09,20.38,1.7,0,3.4,6.79,0.0,0,1.7,0.0,1.7,20.37,5.1,0,0,0,5.09,1.7,0.0,0.0,0.1,0,25.47,0.0,1.7,1.7,0.0,0,0,3.4,1.7,0.0,0,0,0,0.0,1.7,0,0,5.09,0,0,0,0.0,0.0,0,0,0,0,0,0,0,11.89,6.79,3.4,1.7,1.7,1.7,23.81,11.11,50.0,0.0,85.71,50,0,0,100,0,0,0,0,0,0,66.67,100,0,0,100.0,0,0,75,0,100,0,0,0,0.0,0,0,0,33.33,44.44,33.33,100,100.0
6,33062,2799514,103,21316,4418495,"[{'position': {'name': 'Striker', 'code': 'cf'}, 'percent': 63}, {'position': {'name': 'Left Attacking Midfielder', 'code': 'lamf'}, 'percent': 36}]",1,1,1,0,84,84,0,0,2,0,0,0,0,0,1,13,4,4,0,6,3,1,1,0,23,20,0,0,0,0,2,1,2,2,3,2,0,0,0,0,8,6,1,0,1,1,3,7,4,5,2,0,0,0,0,0,0,1,1,4,0,2,0,1,1,0,3,3,0,8,1,1,0.42,0.07,0,17,4,4,1,0,0,0,0,1,3,2,0,0,2,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,5,1,3,1,8,6,16.74,59.31,10.5,3.21,13.93,4.29,6.43,1.07,0.0,0,0,24.64,0.0,0.0,2.14,1.07,2.14,0,3.21,4.29,0.0,0,0,2.14,0,0,0.0,0,1.07,2.14,1.07,2.14,3.21,0.0,0,8.57,1.07,1.07,0,1.07,3.21,0,0,8.57,1.07,1.07,4.29,0,3.21,21.43,0,1.07,2.14,2.14,0.0,0,6.43,0.0,1.07,7.5,5.35,0,0,0,1.07,0.0,0.0,0.45,0.07,0,18.21,4.29,4.29,1.07,0.0,0,0,1.07,3.21,2.14,0,0,0,0.0,3.21,0,0,2.14,0,0,0,1.07,1.07,0,0,0,0,0,0,0,5.36,1.07,3.21,1.07,8.57,6.43,30.77,0,50.0,100.0,86.96,0,0,50,100,0,0,0,0,0,0,100.0,66.67,0,0,75.0,0,100,100,0,100,0,0,0,100.0,0,0,0,38.46,25.0,50.0,100,75.0
7,69307,2799514,103,21316,4418495,"[{'position': {'name': 'Right Attacking Midfielder', 'code': 'ramf'}, 'percent': 100}]",1,1,0,0,96,96,1,0,2,0,0,0,0,1,9,14,4,4,0,4,2,4,1,0,51,40,2,0,6,4,1,0,15,11,4,4,3,0,1,0,20,16,4,3,1,0,4,8,6,6,1,3,2,0,0,4,1,7,2,2,0,2,1,1,1,1,6,2,0,12,3,0,0.82,0.08,0,34,1,2,0,1,0,0,0,2,9,3,0,0,2,1,0,0,1,5,0,0,4,1,0,0,0,0,0,0,0,0,6,2,2,0,20,16,19.34,37.97,28.4,5.63,13.13,3.75,3.75,3.75,0.0,0.94,0,47.81,1.88,5.63,0.94,0.94,1.88,0,3.75,5.63,0.0,0,0,0.94,2.81,0,3.75,0.94,1.88,1.88,0.94,14.06,3.75,2.81,0.94,18.75,3.75,0.94,0.94,8.44,1.88,0,0,11.25,2.81,0.0,3.75,0,1.88,37.5,0,0,10.31,3.75,0.0,0,15.0,2.81,0,7.5,5.64,1.88,0,0.94,6.56,0.94,3.75,0.77,0.07,0,31.88,0.94,1.88,0.0,0.94,0,0,1.88,8.44,2.81,0,0,0,0.94,4.69,0,0,1.88,0.94,0,0,3.75,0.94,0,0,0,0,0,0,0,5.63,1.88,1.88,0,18.75,15.0,28.57,0,50.0,25.0,78.43,0,66.67,0,0,50,0,50,0,100,0,73.33,100,0,0,80.0,75,100,77.78,0,55.56,0,0,50,25.0,0,0,0,42.86,50.0,50.0,0,80.0
8,503302,2799514,103,21316,4418495,"[{'position': {'name': 'Left Attacking Midfielder', 'code': 'lamf'}, 'percent': 100}]",1,0,0,1,13,13,0,0,1,0,0,0,0,0,0,4,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0.45,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,25,33.33,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0
9,105702,2799536,103,21316,4418495,"[{'position': {'name': 'Left Attacking Midfielder', 'code': 'lamf'}, 'percent': 100}]",1,1,1,0,77,77,0,1,1,0,1,0,0,0,2,17,6,9,2,6,4,2,0,1,15,11,1,1,1,1,2,0,1,1,3,3,1,1,1,1,8,5,1,1,1,1,5,15,9,5,2,0,0,0,0,0,0,2,0,8,0,0,0,0,1,1,3,2,1,10,4,3,0.06,0.08,0,12,0,0,0,0,0,0,1,1,3,1,1,0,5,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,4,3,1,0,8,5,18.12,29.36,65.1,3.51,19.87,10.52,7.01,2.34,1.17,0,1.17,17.53,1.17,1.17,2.34,1.17,1.17,0,5.84,10.52,1.17,0,0,2.34,0,0,0,0,0,0,0,1.17,3.51,1.17,1.17,9.35,1.17,1.17,1.17,2.34,2.34,1.17,0,11.69,4.68,3.51,7.01,2.34,4.68,12.86,1.17,0,1.17,3.51,1.17,1.17,5.84,1.17,1.17,17.53,5.85,0,0,0,2.34,0,1.17,0.07,0.09,0,14.03,0,0,0,0,0,0,1.17,3.51,1.17,1.17,0,1.17,1.17,1.17,0,0,5.84,1.17,0,0,2.34,0,0,0,0,0,0,0,0,4.68,3.51,1.17,0,9.35,5.84,35.29,22.22,66.67,0,73.33,100,100,0,100,100,0,0,0,0,0,100,100,100,100,62.5,100,0,100,100,33.33,0,0,20,0,0,0,0,23.53,33.33,16.67,0,62.5
